"Price" "Month" "Year"
5.86 "Jan" 2007
6.27 "Feb" 2007
6.81 "Mrz" 2007
6.93 "Apr" 2007
6.43 "Mai" 2007
6.68 "Jun" 2007
6.92 "Jul" 2007
6.99 "Aug" 2007
7.09 "Sep" 2007
7.14 "Okt" 2007
7.04 "Nov" 2007
7.06 "Dez" 2007
7.23 "Jan" 2008
7.42 "Feb" 2008
7.56 "Mrz" 2008
7.59 "Apr" 2008
7.34 "Mai" 2008
7.33 "Jun" 2008
7.46 "Jul" 2008
7.11 "Aug" 2008
6.47 "Sep" 2008
6.58 "Okt" 2008
6.33 "Nov" 2008
6.3 "Dez" 2008
6.59 "Jan" 2009
6.67 "Feb" 2009
6.6 "Mrz" 2009
6.59 "Apr" 2009
6.36 "Mai" 2009
6.85 "Jun" 2009
6.88 "Jul" 2009
6.81 "Aug" 2009
6.63 "Sep" 2009
6.5 "Okt" 2009
6.47 "Nov" 2009
6.45 "Dez" 2009
6.57 "Jan" 2010
6.6 "Feb" 2010
6.69 "Mrz" 2010
6.48 "Apr" 2010
6.53 "Mai" 2010
6.75 "Jun" 2010
6.81 "Jul" 2010
6.5 "Aug" 2010
6.1 "Sep" 2010
5.85 "Okt" 2010
5.66 "Nov" 2010
5.71 "Dez" 2010
6.05 "Jan" 2011
6.16 "Feb" 2011
6.32 "Mrz" 2011
6.35 "Apr" 2011
6.36 "Mai" 2011
6.51 "Jun" 2011
6.76 "Jul" 2011
6.26 "Aug" 2011
6.11 "Sep" 2011
6.25 "Okt" 2011
5.93 "Nov" 2011
5.84 "Dez" 2011
6.1 "Jan" 2012
6.19 "Feb" 2012
6.31 "Mrz" 2012
6.39 "Apr" 2012
6.43 "Mai" 2012
6.53 "Jun" 2012
6.61 "Jul" 2012
6.4 "Aug" 2012
6.24 "Sep" 2012
6.01 "Okt" 2012
6 "Nov" 2012
6 "Dez" 2012
