"dish" "dose" "day1" "day2" "day3" "day4" "day5" "day6" "day7" "day8" "day9" "day10" "day11" "day12" "day13" "day14" "day15"
1 5 25 24 NA 22 18 17 15 14 NA 13 13 12 11 11 11
2 5 25 25 NA 25 21 20 17 15 NA 15 15 12 11 11 11
3 5 25 25 NA 24 23 21 20 19 NA 16 13 13 13 13 12
4 5 25 25 NA 25 24 22 22 21 NA 20 18 13 13 13 12
5 5 25 25 NA 22 19 18 17 14 NA 13 11 11 8 8 5
6 5 25 25 NA 23 20 17 16 15 NA 15 13 11 11 10 9
7 5 25 25 NA 24 23 22 20 19 NA 16 15 11 9 7 6
8 5 25 25 NA 23 19 17 16 14 NA 12 12 11 11 11 10
9 10 25 24 NA 23 22 21 19 18 NA 18 18 18 17 17 16
10 10 25 25 NA 23 20 19 18 18 NA 17 17 16 15 14 13
11 10 25 24 NA 12 6 5 4 2 NA 2 1 1 1 1 1
12 10 25 24 NA 14 10 7 4 3 NA 3 2 2 2 1 0
13 10 25 24 NA 16 9 6 5 1 NA 0 0 0 0 0 0
14 10 25 24 NA 7 3 1 1 1 NA 0 0 0 0 0 0
15 10 25 18 NA 4 3 1 1 0 NA 0 0 0 0 0 0
16 10 25 21 NA 17 9 7 7 7 NA 5 4 3 3 3 3
